transaction_id,account_id,amount,currency,merchant,category,txn_ts,status,channel,city,country
tx_0000000,2355,8940.9,NPR,InDrive,transport,2025-12-22 17:55:44,APPROVED,pos,Biratnagar,Nepal
tx_0000001,5445,14788.6,NPR,Pathao,transport,2025-11-25 16:52:00,APPROVED,web,Kathmandu,Nepal
tx_0000002,2822,2678.11,NPR,Ncell,telecom,2025-12-22 17:20:02,DECLINED,web,Lalitpur,Nepal
tx_0000003,4932,11153.98,NPR,Daraz,ecommerce,2025-11-15 19:09:49,APPROVED,mobile,Pokhara,Nepal
tx_0000004,4602,11506.89,NPR,Daraz,ecommerce,2025-11-29 17:23:15,APPROVED,mobile,Lalitpur,Nepal
tx_0000005,3981,1572.6,NPR,Bhatbhateni,grocery,2025-12-29 21:34:48,APPROVED,mobile,Kathmandu,Nepal
tx_0000006,4486,19106.8,NPR,Apple,shopping,2025-11-18 16:09:09,APPROVED,mobile,Pokhara,Nepal
tx_0000007,3427,9531.29,NPR,Apple,shopping,2025-12-29 15:46:04,APPROVED,mobile,Kathmandu,Nepal
tx_0000008,3804,13904.96,NPR,Ncell,telecom,2025-11-26 14:57:04,APPROVED,web,Pokhara,Nepal
tx_0000009,2446,636.14,NPR,Pathao,transport,2025-12-25 09:10:17,APPROVED,web,Pokhara,Nepal
tx_0000010,2800,4479.87,NPR,InDrive,transport,2025-12-23 21:55:46,APPROVED,mobile,Biratnagar,Nepal
tx_0000011,2759,4856.47,NPR,Apple,shopping,2025-12-25 02:53:01,APPROVED,web,Kathmandu,Nepal
tx_0000012,2317,2128.06,NPR,Pathao,transport,2025-12-20 14:29:42,APPROVED,mobile,Lalitpur,Nepal
tx_0000013,3936,-15484.06,NPR,Apple,shopping,2025-12-06 13:58:49,APPROVED,web,Pokhara,Nepal
tx_0000014,2991,8985.56,NPR,Ncell,telecom,2025-11-18 04:30:52,APPROVED,pos,Kathmandu,Nepal
tx_0000015,1486,1549.99,NPR,Samsung,shopping,2025-11-16 22:02:41,APPROVED,pos,Kathmandu,Nepal
tx_0000016,1190,19876.48,NPR,Samsung,shopping,2025-12-29 20:14:37,APPROVED,mobile,Pokhara,Nepal
tx_0000017,4851,13344.8,NPR,NTC,telecom,2025-12-16 13:50:38,APPROVED,pos,Lalitpur,Nepal
tx_0000018,2315,15289.97,NPR,SastoDeal,ecommerce,2025-11-30 07:27:22,APPROVED,web,Biratnagar,Nepal
tx_0000019,2797,19757.19,NPR,Bhatbhateni,grocery,2025-12-03 05:04:10,APPROVED,pos,Kathmandu,Nepal
tx_0000020,3226,12807.88,NPR,Samsung,shopping,2025-12-13 06:51:01,APPROVED,pos,Pokhara,Nepal
tx_0000021,3428,3660.09,NPR,Daraz,ecommerce,2025-12-27 21:48:28,APPROVED,pos,Kathmandu,Nepal
tx_0000022,3813,10555.72,NPR,Bhatbhateni,grocery,2025-12-15 15:49:47,APPROVED,mobile,Biratnagar,Nepal
tx_0000023,5989,7836.07,NPR,Daraz,ecommerce,2025-12-09 04:44:37,APPROVED,web,Lalitpur,Nepal
tx_0000024,5645,3946.78,NPR,Pathao,transport,2025-12-13 08:03:40,DECLINED,mobile,Biratnagar,Nepal
tx_0000025,3904,1761.54,NPR,Bhatbhateni,grocery,2025-11-20 03:03:22,APPROVED,web,Kathmandu,Nepal
tx_0000026,2275,17472.24,NPR,NTC,telecom,2025-12-29 05:48:11,APPROVED,web,Biratnagar,Nepal
tx_0000027,3642,8160.08,NPR,Ncell,telecom,2025-12-27 17:33:47,APPROVED,mobile,Kathmandu,Nepal
tx_0000028,3724,19732.36,NPR,BigMart,grocery,2025-12-29 15:58:04,DECLINED,web,Pokhara,Nepal
tx_0000029,5313,18464.55,NPR,Daraz,ecommerce,2025-11-25 18:55:08,APPROVED,pos,Lalitpur,Nepal
tx_0000030,2310,16620.08,NPR,Pathao,transport,2025-12-12 21:30:10,DECLINED,mobile,Biratnagar,Nepal
tx_0000031,4254,13432.07,NPR,Samsung,shopping,2025-12-03 00:03:32,APPROVED,mobile,Pokhara,Nepal
tx_0000032,5972,15229.21,NPR,Daraz,ecommerce,2025-12-14 00:28:29,APPROVED,mobile,Lalitpur,Nepal
tx_0000033,3717,5027.26,NPR,Ncell,telecom,2025-12-24 17:11:59,DECLINED,web,Lalitpur,Nepal
tx_0000034,4628,-6560.62,NPR,Pathao,transport,2025-12-13 23:17:30,APPROVED,mobile,Pokhara,Nepal
tx_0000035,2028,17267.26,NPR,InDrive,transport,2025-12-08 02:55:38,APPROVED,mobile,Pokhara,Nepal
tx_0000036,3875,18408.35,NPR,Pathao,transport,2025-12-20 13:11:19,APPROVED,web,Lalitpur,Nepal
tx_0000037,1116,8946.93,NPR,SastoDeal,ecommerce,2025-11-20 03:45:56,APPROVED,pos,Biratnagar,Nepal
tx_0000038,1832,19378.41,NPR,Daraz,ecommerce,2025-12-22 04:23:01,APPROVED,web,Lalitpur,Nepal
tx_0000039,2403,16903.52,NPR,Apple,shopping,2025-11-21 23:51:07,APPROVED,web,Pokhara,Nepal
tx_0000040,4598,14994.34,NPR,Bhatbhateni,grocery,2025-12-12 07:36:31,APPROVED,web,Biratnagar,Nepal
tx_0000041,3046,15119.14,NPR,Pathao,transport,2025-11-26 09:33:12,APPROVED,web,Lalitpur,Nepal
tx_0000042,3987,3397.09,NPR,SastoDeal,ecommerce,2025-12-06 00:52:14,APPROVED,mobile,Kathmandu,Nepal
tx_0000043,3900,6363.84,NPR,Pathao,transport,2025-12-19 22:00:50,APPROVED,web,Lalitpur,Nepal
tx_0000044,1256,2811.42,NPR,Pathao,transport,2025-12-24 04:26:53,APPROVED,pos,Kathmandu,Nepal
tx_0000045,3511,11135.77,NPR,Apple,shopping,2025-12-22 08:22:59,APPROVED,web,Kathmandu,Nepal
tx_0000046,2667,16677.91,NPR,Pathao,transport,2025-12-25 06:15:07,APPROVED,web,Kathmandu,Nepal
tx_0000047,1495,19929.36,NPR,InDrive,transport,2025-12-24 17:41:35,APPROVED,mobile,Lalitpur,Nepal
tx_0000048,5415,10478.14,NPR,Bhatbhateni,grocery,2025-12-01 20:21:57,DECLINED,mobile,Biratnagar,Nepal
tx_0000049,5222,17205.07,NPR,Bhatbhateni,grocery,2025-12-20 20:27:32,APPROVED,web,Biratnagar,Nepal
tx_0000050,3839,4470.93,NPR,BigMart,grocery,2025-12-07 04:14:41,APPROVED,web,Biratnagar,Nepal
tx_0000051,5229,19433.25,NPR,Samsung,shopping,2025-12-26 22:13:08,APPROVED,mobile,Pokhara,Nepal
tx_0000052,4471,15906.87,NPR,Ncell,telecom,2025-12-15 08:27:21,APPROVED,web,Lalitpur,Nepal
tx_0000053,1010,6622.58,NPR,Apple,shopping,2025-11-22 23:22:34,APPROVED,web,Kathmandu,Nepal
tx_0000054,3807,6029.86,NPR,Daraz,ecommerce,2025-11-23 13:04:06,APPROVED,pos,Kathmandu,Nepal
tx_0000055,5696,19618.09,NPR,Apple,shopping,2025-11-27 07:37:13,APPROVED,mobile,Lalitpur,Nepal
tx_0000056,3667,19440.02,NPR,SastoDeal,ecommerce,2025-11-30 18:10:21,APPROVED,mobile,Biratnagar,Nepal
tx_0000057,1696,12367.76,NPR,Samsung,shopping,2025-12-19 12:49:00,APPROVED,pos,Kathmandu,Nepal
tx_0000058,4411,2175.12,NPR,SastoDeal,ecommerce,2025-11-17 02:35:54,APPROVED,web,Pokhara,Nepal
tx_0000059,4323,3192.21,NPR,InDrive,transport,2025-11-22 07:15:51,APPROVED,mobile,Kathmandu,Nepal
tx_0000060,4409,3145.96,NPR,NTC,telecom,2025-12-22 04:40:16,APPROVED,web,Pokhara,Nepal
tx_0000061,1860,16010.04,NPR,SastoDeal,ecommerce,2025-12-23 17:09:26,APPROVED,mobile,Lalitpur,Nepal
tx_0000062,4317,11864.02,NPR,Pathao,transport,2025-12-11 01:22:51,APPROVED,mobile,Kathmandu,Nepal
tx_0000063,2945,4723.17,NPR,NTC,telecom,2025-12-06 00:13:19,APPROVED,web,Kathmandu,Nepal
tx_0000064,1760,6073.9,NPR,NTC,telecom,2025-12-12 09:35:51,APPROVED,pos,Pokhara,Nepal
tx_0000065,2924,17729.05,NPR,Ncell,telecom,2025-12-08 22:37:50,APPROVED,mobile,Kathmandu,Nepal
tx_0000066,4038,1986.75,NPR,Daraz,ecommerce,2025-12-10 08:20:23,APPROVED,mobile,Biratnagar,Nepal
tx_0000067,5421,9443.97,NPR,Ncell,telecom,2025-11-28 19:40:58,APPROVED,mobile,Kathmandu,Nepal
tx_0000068,4959,5930.05,NPR,Pathao,transport,2025-12-21 11:59:18,APPROVED,pos,Lalitpur,Nepal
tx_0000069,4566,10284.35,NPR,InDrive,transport,2025-11-19 01:32:56,APPROVED,mobile,Biratnagar,Nepal
tx_0000070,1890,1755.94,NPR,Ncell,telecom,2025-11-22 03:11:56,APPROVED,pos,Pokhara,Nepal
tx_0000071,1706,4879.87,NPR,BigMart,grocery,2025-12-14 08:29:16,DECLINED,pos,Biratnagar,Nepal
tx_0000072,3334,14485.34,NPR,Daraz,ecommerce,2025-11-15 22:05:03,APPROVED,web,Pokhara,Nepal
tx_0000073,4353,763.1,NPR,Samsung,shopping,2025-11-23 17:15:43,APPROVED,mobile,Kathmandu,Nepal
tx_0000074,5281,3458.85,NPR,Bhatbhateni,grocery,2025-12-26 03:30:03,APPROVED,mobile,Kathmandu,Nepal
tx_0000075,1005,5389.72,NPR,Apple,shopping,2025-11-29 01:08:44,APPROVED,web,Lalitpur,Nepal
tx_0000076,2691,925.05,NPR,InDrive,transport,2025-12-18 12:33:38,APPROVED,web,Lalitpur,Nepal
